as_of,und,exp_dt,strike_px,put_call,bid_px,ask_px,last_px,trd_vol,oi,imp_vol,delta,opt_root,exch,snap_id,rec_hash
2026-07-20,ES,08/21/2026,"6,300.00",P,473.50,479.75,476.5,6229,20144,0.1185,-0.276,ES,CME,snap-20260720-es,ES-20260821-6300-P-20260720
2026-07-20,ES,2026-08-21,"6,350.00",C,73.5,74.75,74,1354,4063,0.1213,0.709,ES,CME,snap-20260720-es,ES-20260821-6350-C-20260720
07/20/2026,ES,20260821,6350,P,523.75,531,527.5,2368,"9,191",0.1195,-0.291,ES,CME,snap-20260720-es,ES-20260821-6350-P-20260720
2026-07-20,ES,2026-08-21,6400,C,74.25,75.5,75,554,1294,0.1225,0.697,ES,CME,snap-20260720-es,ES-20260821-6400-C-20260720
2026-07-20,ES,20260821,6400,Put,573.75,582,578.00,677,2147,0.1205,-0.303,ES,CME,snap-20260720-es,ES-20260821-6400-P-20260720
2026-07-20,ES,2026-08-28,5400,C,572.75,581.25,577,1031,2735,0.1203,0.699,ES,CME,snap-20260720-es,ES-20260828-5400-C-20260720
07/20/2026,ES,20260828,"5,400.00",P,84.5,85.75,85,910,2476,0.1264,-0.301,ES,CME,snap-20260720-es,ES-20260828-5400-P-20260720
07/20/26,ES,2026-08-28,5450,C,522.5,530,526.25,2613,10879,0.1193,0.712,ES,CME,snap-20260720-es,ES-20260828-5450-C-20260720
2026-07-20,ES,2026-08-28,5450,P,83.5,84.75,84,2513,11444,0.1248,-0.288,ES,CME,snap-20260720-es,ES-20260828-5450-P-20260720
20260720,ES,2026-08-28,5500,C,472.25,479,475.5,5180,11466,0.1184,0.726,ES,CME,snap-20260720-es,ES-20260828-5500-C-20260720
20260720,ES,08/28/2026,5500,P,82.5,83.75,83,6923,23712,0.1232,-0.274,ES,CME,snap-20260720-es,ES-20260828-5500-P-20260720
2026-07-20,ES,2026-08-28,5550,C,422,427.75,425,"2,410",10306,0.1174,0.743,ES,CME,snap-20260720-es,ES-20260828-5550-C-20260720
20260720,ES,2026-08-28,5550,P,81.5,82.5,82,5020,27518,0.1216,-0.257,ES,CME,snap-20260720-es,ES-20260828-5550-P-20260720
20260720,ES,08/28/2026,5600,C,371.75,376.75,374.25,10017,30600,0.1164,0.763,ES,CME,snap-20260720-es,ES-20260828-5600-C-20260720
2026-07-20,ES,08/28/26,5600,P ,80.5,81.5,81,12135,61300,0.12,-0.237,ES,CME,snap-20260720-es,ES-20260828-5600-P-20260720
2026-07-20,ES,08/28/26,5600,P ,80.5,81.5,81,12135,61300,0.12,-0.237,ES,CME,snap-20260720-es-retry,ES-20260828-5600-P-20260720
07/20/2026,ES,2026-08-28,5650,Call,321.5,325.75,323.5,10033,23787,0.12,0.786,ES,CME,snap-20260720-es,ES-20260828-5650-C-20260720
2026-07-20,ES,2026-08-28,5650,P,79.25,80.25,79.75,13572,36520,0.12,-0.214,ES,CME,snap-20260720-es,ES-20260828-5650-P-20260720
07/20/26,ES,2026-08-28,5700,C,271.25,274.50,273,"13,282",56036,0.1144,0.813,ES,CME,snap-20260720-es,ES-20260828-5700-C-20260720
2026-07-20,es,2026-08-28,5700,P,78.25,79.25,78.75,15743,83428,0.1168,-0.19,ES,CME,snap-20260720-es,ES-20260828-5700-P-20260720
2026-07-20,ES,2026-08-28,5750,C,221,223.5,222.25,9947,33463,0.1134,0.846,ES,CME,snap-20260720-es,ES-20260828-5750-C-20260720
2026-07-20,ES,2026-08-28,5750,P ,77.25,78.25,77.75,8973,32495,0.1152,-0.154,ES,CME,snap-20260720-es,ES-20260828-5750-P-20260720
2026-07-20,ES,08/28/2026,5800,C,170.5,172.5,171.5,16040,61118,0.11,0.887,ES,CME,snap-20260720-es,ES-20260828-5800-C-20260720
2026-07-20,ES,08/28/2026,"5,800.00",P,76.25,77,76.5,18290,47336,0.1136,-0.113,ES,CME,snap-20260720-es,ES-20260828-5800-P-20260720
2026-07-20,ES,08/28/2026,5850,C,120.25,121.5,121,10150,29215,0.1114,0.939,ES,CME,snap-20260720-es,ES-20260828-5850-C-20260720
2026-07-20,ES,2026-08-28,5850,P,75,76,75.5,16056,74550,0.112,-0.061,ES,CME,snap-20260720-es,ES-20260828-5850-P-20260720
2026-07-20,ES,08/28/26,"5,900.00",C,74.25,75,74.5,13890,37854,0.1106,0.994,ES,CME,snap-20260720-es,ES-20260828-5900-C-20260720
20260720,ES,2026-08-28,5900,P,78.5,79.25,79,23936,118743,0.1106,-0.006,ES,CME,snap-20260720-es,ES-20260828-5900-P-20260720
2026-07-20,ES,20260828,5950,Call,75,75.75,75.5,17792,"78,995",0.1118,0.929,ES,CME,snap-20260720-es,ES-20260828-5950-C-20260720
2026-07-20,ES,2026-08-28,5950,P ,128.75,130.25,129.5,24653,105951,0.1116,-0.071,ES,CME,snap-20260720-es,ES-20260828-5950-P-20260720
2026-07-20,ES,20260828,"6,000.00",C,75.75,76.75,76.25,12567,43729,0.113,0.879,ES,CME,snap-20260720-es,ES-20260828-6000-C-20260720
2026-07-20,ES,2026-08-28,6000,P,179,181.25,180,16318,46906,0.1126,-0.121,ES,CME,snap-20260720-es,ES-20260828-6000-P-20260720
2026-07-20,ES,2026-08-28,6050,Call,76.5,77.5,77,6404,29957,0.1142,0.84,ES,CME,snap-20260720-es,ES-20260828-6050-C-20260720
2026-07-20,ES,2026-08-28,6050,P,229.50,232.25,231,16857,62248,0.1136,-0.16,ES,CME,snap-20260720-es,ES-20260828-6050-P-20260720
2026-07-20,ES,20260828,6100,Call,77.25,78.25,77.75,18320,67928,0.1154,0.808,ES,CME,snap-20260720-es,ES-20260828-6100-C-20260720
07/20/2026,ES,2026-08-28,6100,P,279.75,283.25,281.5,9052,30878,0.1146,-0.192,ES,CME,snap-20260720-es,ES-20260828-6100-P-20260720
07/20/2026,ES,2026-08-28,6100,P,279.75,283.25,281.5,9052,30878,0.1146,-0.192,ES,CME,snap-20260720-es-retry,ES-20260828-6100-P-20260720
2026-07-20,ES,2026-08-28,6150,Call,78,79.25,78.5,6035,19306,0.1166,0.781,ES,CME,snap-20260720-es,ES-20260828-6150-C-20260720
2026-07-20,es,08/28/2026,6150,P,330.00,334.25,332,9350,45942,0.12,-0.219,ES,CME,snap-20260720-es,ES-20260828-6150-P-20260720
2026-07-20,ES,2026-08-28,6200,C,79,80,79.5,11266,45374,0.1177,0.759,ES,CME,snap-20260720-es,ES-20260828-6200-C-20260720
07/20/26,ES,2026-08-28,6200,P,380.25,385.5,383,6277,18050,0.1165,-0.241,ES,CME,snap-20260720-es,ES-20260828-6200-P-20260720
2026-07-20,ES,2026-08-28,6250,C,79.75,80.75,80.25,6973,16130,0.1189,0.74,ES,CME,snap-20260720-es,ES-20260828-6250-C-20260720
07/20/26,ES,08/28/26,6250,P,430.5,436.5,433.5,7745,41316,0.1175,-0.26,ES,CME,snap-20260720-es,ES-20260828-6250-P-20260720
2026-07-20,ES,08/28/26,6300,C,80.5,81.5,81,3986,11115,0.1201,0.724,ES,CME,snap-20260720-es,ES-20260828-6300-C-20260720
20260720,ES,2026-08-28,6300,P,480.75,487.5,484,5778,23736,0.12,-0.276,ES,CME,snap-20260720-es,ES-20260828-6300-P-20260720
2026-07-20,ES,2026-08-28,6350,C,81.25,82.5,82,2366,9789,0.12,0.71,ES,CME,snap-20260720-es,ES-20260828-6350-C-20260720
2026-07-20,ES,20260828,6350,P,531,538.75,535.00,1962,10498,0.1195,-0.291,ES,CME,snap-20260720-es,ES-20260828-6350-P-20260720
2026-07-20,ES,20260828,6400,C,82,83.25,82.5,615,1566,0.12,0.697,ES,CME,snap-20260720-es,ES-20260828-6400-C-20260720
07/20/2026,ES,08/28/2026,6400,P,581.25,589.75,585.5,571,2989,0.1205,-0.303,ES,CME,snap-20260720-es,ES-20260828-6400-P-20260720
2026-07-20,ES,2026-09-18,5400,C,591.5,601.25,596.5,509,1491,0.1203,0.699,ES,CME,snap-20260720-es,ES-20260918-5400-C-20260720
2026-07-20,ES,09/18/26,5400,P,104.75,106.5,105.5,892,3208,0.1264,-0.30,ES,CME,snap-20260720-es,ES-20260918-5400-P-20260720
20260720,ES,2026-09-18,"5,450.00",C,541.25,550,545.5,1003,2460,0.1193,0.712,ES,CME,snap-20260720-es,ES-20260918-5450-C-20260720
20260720,ES,20260918,5450,P,103.5,105.25,104.5,2830,9163,0.1248,-0.29,ES,CME,snap-20260720-es,ES-20260918-5450-P-20260720
2026-07-20,ES,20260918,5500,C,491,498.75,495,2698,11582,0.1184,0.726,ES,CME,snap-20260720-es,ES-20260918-5500-C-20260720
2026-07-20,ES,2026-09-18,5500,P,102.25,103.75,103,2593,7756,0.1232,-0.274,ES,CME,snap-20260720-es,ES-20260918-5500-P-20260720
20260720,ES,2026-09-18,5550,C,440.50,447.25,444,6280,20238,0.1174,0.743,ES,CME,snap-20260720-es,ES-20260918-5550-C-20260720
2026-07-20,ES,2026-09-18,5550,P,101,102.5,101.75,4213,20079,0.1216,-0.257,ES,CME,snap-20260720-es,ES-20260918-5550-P-20260720
2026-07-20,ES,09/18/26,5600,C,390.25,396,393,4325,"12,934",0.1164,0.763,ES,CME,snap-20260720-es,ES-20260918-5600-C-20260720
2026-07-20,ES,2026-09-18,5600,P,99.5,101,100.25,5530,18769,0.12,-0.237,ES,CME,snap-20260720-es,ES-20260918-5600-P-20260720
2026-07-20,ES,20260918,5650,Call,339.75,344.75,342.25,10389,28855,0.1154,0.786,ES,CME,snap-20260720-es,ES-20260918-5650-C-20260720
07/20/2026,ES,20260918,5650,Put,98.25,99.75,99,10771,"35,465",0.1184,-0.214,ES,CME,snap-20260720-es,ES-20260918-5650-P-20260720
07/20/2026,ES,2026-09-18,5700,C,289.25,293.5,291.5,14703,66461,0.1144,0.813,ES,CME,snap-20260720-es,ES-20260918-5700-C-20260720
07/20/2026,es,20260918,5700,P,97,98.5,97.75,16263,85977,0.1168,-0.187,ES,CME,snap-20260720-es,ES-20260918-5700-P-20260720
2026-07-20,ES,2026-09-18,5750,C,239,242.25,240.5,5368,21478,0.1134,0.846,ES,CME,snap-20260720-es,ES-20260918-5750-C-20260720
07/20/2026,ES,2026-09-18,5750,P,95.75,97,96.5,10494,47718,0.1152,-0.154,ES,CME,snap-20260720-es,ES-20260918-5750-P-20260720
2026-07-20,ES,2026-09-18,"5,800.00",C,188.5,191,189.75,17308,45021,0.1124,0.887,ES,CME,snap-20260720-es,ES-20260918-5800-C-20260720
2026-07-20,ES,2026-09-18,5800,P,94.25,95.75,95,"18,336",73026,0.1136,-0.113,ES,CME,snap-20260720-es,ES-20260918-5800-P-20260720
07/20/26,ES,09/18/2026,5850,C,138,140,139.00,19006,49606,0.1114,0.939,ES,CME,snap-20260720-es,ES-20260918-5850-C-20260720
2026-07-20,ES,20260918,5850,Put,93,94.25,93.5,14706,63211,0.112,-0.061,ES,CME,snap-20260720-es,ES-20260918-5850-P-20260720
07/20/26,ES,2026-09-18,5900,C,92,93.25,92.5,18365,73733,0.1106,0.99,ES,CME,snap-20260720-es,ES-20260918-5900-C-20260720
2026-07-20,es,09/18/2026,"5,900.00",P,96.25,97.5,97,23544,105451,0.1106,-0.01,ES,CME,snap-20260720-es,ES-20260918-5900-P-20260720
2026-07-20,ES,2026-09-18,"5,950.00",C,93.00,94.25,93.5,7160,25556,0.1118,0.929,ES,CME,snap-20260720-es,ES-20260918-5950-C-20260720
20260720,es,09/18/26,5950,Put,146.5,148.5,147.5,19644,105140,0.1116,-0.071,ES,CME,snap-20260720-es,ES-20260918-5950-P-20260720
2026-07-20,ES,2026-09-18,6000,C,94,95.25,94.50,19600,89793,0.113,0.879,ES,CME,snap-20260720-es,ES-20260918-6000-C-20260720
2026-07-20,ES,09/18/26,6000,put,197,199.75,198.5,10628,31712,0.1126,-0.121,ES,CME,snap-20260720-es,ES-20260918-6000-P-20260720
20260720,ES,2026-09-18,"6,050.00",C,94.75,96.25,95.5,6216,18956,0.1142,0.84,ES,CME,snap-20260720-es,ES-20260918-6050-C-20260720
2026-07-20,ES,09/18/26,6050,P,247.5,251.00,249.25,8929,43935,0.1136,-0.16,ES,CME,snap-20260720-es,ES-20260918-6050-P-20260720
2026-07-20,ES,2026-09-18,6100,Call,95.75,97.25,96.5,"16,894","45,048",0.1154,0.808,ES,CME,snap-20260720-es,ES-20260918-6100-C-20260720
2026-07-20,ES,09/18/2026,6100,P,298,302.25,300,7715,24942,0.11,-0.192,ES,CME,snap-20260720-es,ES-20260918-6100-P-20260720
2026-07-20,es,09/18/2026,6150,C,96.75,98.25,97.5,3616,15796,0.1166,0.781,ES,CME,snap-20260720-es,ES-20260918-6150-C-20260720
07/20/2026,es,09/18/26,"6,150.00",P,348.25,353.5,351,10727,57464,0.1155,-0.219,ES,CME,snap-20260720-es,ES-20260918-6150-P-20260720
2026-07-20,ES,2026-09-18,6200,C,97.75,99.25,98.5,6126,21474,0.1177,0.759,ES,CME,snap-20260720-es,ES-20260918-6200-C-20260720
20260720,ES,2026-09-18,6200,P,398.75,404.75,401.75,5885,29710,0.1165,-0.241,ES,CME,snap-20260720-es,ES-20260918-6200-P-20260720
2026-07-20,ES,2026-09-18,6250,C,98.75,100.25,99.5,5818,24424,0.1189,0.74,ES,CME,snap-20260720-es,ES-20260918-6250-C-20260720
2026-07-20,ES,2026-09-18,6250,P,449,456,452.5,3846,19518,0.1175,-0.26,ES,CME,snap-20260720-es,ES-20260918-6250-P-20260720
20260720,ES,09/18/26,6300,C,99.75,101.25,100.5,3468,14924,0.1201,0.72,ES,CME,snap-20260720-es,ES-20260918-6300-C-20260720
2026-07-20,ES,09/18/2026,6300,P,499.50,507.25,503.5,2999,13862,0.12,-0.276,ES,CME,snap-20260720-es,ES-20260918-6300-P-20260720
2026-07-20,ES,20260918,6350,C,100.75,102.25,101.5,843,2027,0.1213,0.709,ES,CME,snap-20260720-es,ES-20260918-6350-C-20260720
20260720,ES,09/18/2026,"6,350.00",P,549.75,558.75,554.25,815,3952,0.1195,-0.291,ES,CME,snap-20260720-es,ES-20260918-6350-P-20260720
2026-07-20,ES,2026-09-18,6400,Call,101.75,103.25,102.5,1159,4227,0.1225,0.697,ES,CME,snap-20260720-es,ES-20260918-6400-C-20260720
20260720,ES,2026-09-18,6400,P,600,610,605,1020,4497,0.1205,-0.303,ES,CME,snap-20260720-es,ES-20260918-6400-P-20260720
2026-07-20,ES,20261016,5400,C,612,623.5,617.75,338,1042,0.1203,0.699,ES,CME,snap-20260720-es,ES-20261016-5400-C-20260720
2026-07-20,ES,10/16/26,5400,P,126.75,129.25,128,613,3374,0.1264,-0.301,ES,CME,snap-20260720-es,ES-20261016-5400-P-20260720
20260720,ES,2026-10-16,5450,C,561.5,571.75,566.5,1640,7160,0.1193,0.712,ES,CME,snap-20260720-es,ES-20261016-5450-C-20260720
2026-07-20,ES,10/16/26,5450,P,125.25,127.5,126.5,950,"3,270",0.1248,-0.288,ES,CME,snap-20260720-es,ES-20261016-5450-P-20260720
2026-07-20,ES,20261016,5500,C,511,520.25,515.5,1578,4703,0.12,0.726,ES,CME,snap-20260720-es,ES-20261016-5500-C-20260720
07/20/2026,ES,20261016,5500,P,123.75,126,125,3859,"14,197",0.1232,-0.274,ES,CME,snap-20260720-es,ES-20261016-5500-P-20260720
2026-07-20,ES,20261016,5550,C,460.5,468.75,464.5,2967,9236,0.1174,0.743,ES,CME,snap-20260720-es,ES-20261016-5550-C-20260720
2026-07-20,ES,10/16/2026,5550,P,122,124.25,123,4098,20663,0.1216,-0.257,ES,CME,snap-20260720-es,ES-20261016-5550-P-20260720
2026-07-20,ES,2026-10-16,5600,Call,410,417.25,413.5,7160,18066,0.1164,0.763,ES,CME,snap-20260720-es,ES-20261016-5600-C-20260720
07/20/26,ES,2026-10-16,5600,Put,120.5,122.5,121.5,8294,37868,0.12,-0.237,ES,CME,snap-20260720-es,ES-20261016-5600-P-20260720
20260720,es,10/16/2026,5650,C,359.5,365.75,362.5,7464,33025,0.1154,0.786,ES,CME,snap-20260720-es,ES-20261016-5650-C-20260720
20260720,es,10/16/2026,5650,P,119,121,120,3740,11947,0.1184,-0.214,ES,CME,snap-20260720-es,ES-20261016-5650-P-20260720
2026-07-20,ES,2026-10-16,"5,700.00",C,309,314.25,311.5,9736,45867,0.1144,0.813,ES,CME,snap-20260720-es,ES-20261016-5700-C-20260720
07/20/2026,ES,2026-10-16,5700,P,117.25,119.25,118.25,8386,45395,0.1168,-0.187,ES,CME,snap-20260720-es,ES-20261016-5700-P-20260720
07/20/2026,ES,2026-10-16,5750,C,258.5,262.75,260.5,8405,37436,0.1134,0.846,ES,CME,snap-20260720-es,ES-20261016-5750-C-20260720
2026-07-20,ES,2026-10-16,"5,750.00",P,115.75,117.75,116.75,6961,23629,0.1152,-0.154,ES,CME,snap-20260720-es,ES-20261016-5750-P-20260720
20260720,ES,2026-10-16,5800,C,208,211.25,209.5,14204,42087,0.1124,0.887,ES,CME,snap-20260720-es,ES-20261016-5800-C-20260720
2026-07-20,ES,20261016,5800,P,114.25,116,115,12782,33857,0.1136,-0.113,ES,CME,snap-20260720-es,ES-20261016-5800-P-20260720
2026-07-20,ES,2026-10-16,5850,C,157.5,159.75,158.5,5283,16932,0.1114,0.939,ES,CME,snap-20260720-es,ES-20261016-5850-C-20260720
07/20/2026,ES,2026-10-16,5850,P,112.5,114.25,113.5,17212,69095,0.112,-0.061,ES,CME,snap-20260720-es,ES-20261016-5850-P-20260720
07/20/2026,ES,2026-10-16,5900,C,111.25,113,112,13234,29359,0.1106,0.994,ES,CME,snap-20260720-es,ES-20261016-5900-C-20260720
07/20/2026,ES,20261016,5900,P,115.5,117.25,116.5,16406,69290,0.1106,-0.006,ES,CME,snap-20260720-es,ES-20261016-5900-P-20260720
2026-07-20,es,2026-10-16,5950,C,112.5,114.25,113.5,12529,42437,0.1118,0.929,ES,CME,snap-20260720-es,ES-20261016-5950-C-20260720
20260720,ES,10/16/2026,5950,put,166,168.50,167.25,12578,38142,0.1116,-0.071,ES,CME,snap-20260720-es,ES-20261016-5950-P-20260720
2026-07-20,ES,20261016,6000,C,113.5,115.5,114.5,9809,39768,0.113,0.879,ES,CME,snap-20260720-es,ES-20261016-6000-C-20260720
2026-07-20,ES,10/16/2026,6000,P,216.5,220,218.25,12570,64780,0.1126,-0.121,ES,CME,snap-20260720-es,ES-20261016-6000-P-20260720
2026-07-20,ES,2026-10-16,6050,C,114.75,116.75,115.75,5279,13281,0.1142,0.84,ES,CME,snap-20260720-es,ES-20261016-6050-C-20260720
2026-07-20,ES,20261016,6050,P,267,271.5,269.25,10577,36391,0.1136,-0.16,ES,CME,snap-20260720-es,ES-20261016-6050-P-20260720
20260720,ES,2026-10-16,"6,100.00",C,116.00,117.75,117,8925,30566,0.1154,0.808,ES,CME,snap-20260720-es,ES-20261016-6100-C-20260720
2026-07-20,ES,2026-10-16,6100,P,317.75,323,320.5,10777,41084,0.1146,-0.192,ES,CME,snap-20260720-es,ES-20261016-6100-P-20260720
2026-07-20,ES,2026-10-16,6150,C,117,119,118,6402,18472,0.1166,0.781,ES,CME,snap-20260720-es,ES-20261016-6150-C-20260720
2026-07-20,es,2026-10-16,6150,P,368.25,374.5,371.5,7651,20332,0.1155,-0.22,ES,CME,snap-20260720-es,ES-20261016-6150-P-20260720
2026-07-20,ES,20261016,6200,C,118.25,120.25,119.25,9166,33479,0.1177,0.759,ES,CME,snap-20260720-es,ES-20261016-6200-C-20260720
07/20/2026,ES,2026-10-16,6200,P,418.75,426,422.5,8444,34268,0.1165,-0.241,ES,CME,snap-20260720-es,ES-20261016-6200-P-20260720
07/20/26,ES,20261016,6250,C,119.5,121.5,120.5,4073,9981,0.1189,0.74,ES,CME,snap-20260720-es,ES-20261016-6250-C-20260720
07/20/2026,ES,2026-10-16,6250,P,469.25,477.5,473.5,4231,21829,0.1175,-0.26,ES,CME,snap-20260720-es,ES-20261016-6250-P-20260720
07/20/2026,ES,2026-10-16,6300,C,120.5,122.75,121.5,4339,11541,0.1201,0.724,ES,CME,snap-20260720-es,ES-20261016-6300-C-20260720
07/20/2026,ES,2026-10-16,6300,P,519.50,529,524.25,3007,"15,309",0.1185,-0.28,ES,CME,snap-20260720-es,ES-20261016-6300-P-20260720
2026-07-20,ES,10/16/26,6350,C,121.75,124,123,701,1713,0.1213,0.709,ES,CME,snap-20260720-es,ES-20261016-6350-C-20260720
20260720,es,2026-10-16,6350,P,570,580.75,575.5,1555,6865,0.12,-0.291,ES,CME,snap-20260720-es,ES-20261016-6350-P-20260720
2026-07-20,ES,2026-10-16,6400,C,123,125.25,124,936,3380,0.1225,0.697,ES,CME,snap-20260720-es,ES-20261016-6400-C-20260720
07/20/2026,ES,10/16/26,6400,P,620.5,632.25,626.5,871,4774,0.1205,-0.303,ES,CME,snap-20260720-es,ES-20261016-6400-P-20260720
2026-07-20,ES,12/18/2026,"5,400.00",C,647.50,663.25,655.5,145,647,0.1203,0.699,ES,CME,snap-20260720-es,ES-20261218-5400-C-20260720
2026-07-20,es,2026-12-18,5400,P,165.75,169.75,167.75,200,651,0.1264,-0.301,ES,CME,snap-20260720-es,ES-20261218-5400-P-20260720
2026-07-20,ES,12/18/2026,5450,C,597,611.25,604,771,3218,0.12,0.712,ES,CME,snap-20260720-es,ES-20261218-5450-C-20260720
07/20/2026,ES,12/18/26,5450,P,163.5,167.5,165.5,896,3718,0.1248,-0.288,ES,CME,snap-20260720-es,ES-20261218-5450-P-20260720
20260720,ES,2026-12-18,5500,C,546.5,559.25,553,1948,9015,0.1184,0.73,ES,CME,snap-20260720-es,ES-20261218-5500-C-20260720
20260720,ES,20261218,5500,P,161.5,165.25,163.5,2280,9390,0.1232,-0.274,ES,CME,snap-20260720-es,ES-20261218-5500-P-20260720
