trade_dt,globex_sym,px_open,px_high,px_low,px_settle,vol,oi,settle_flag,file_name,load_ts
04/01/2026,GCZ26,2654.3,2670.5,2629.9,2658.2,44234,23412,FINAL,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,GCG27,2652.6,2675.8,2647.2,2662.9,26426,11059,Final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,GCJ27,2662.6,2675.7,2656.3,2667.7,18446,"4,145",Final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/26,GCM27,2667.8,2679.8,2649.6,"2,672.50",9768,1686,final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,ZBM26,115.5312,116.6875,114.38,115.625,93017,"124,755",final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,ZBU26,115.7188,116.1875,114.4688,115.7188,64568,76154,Final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/01/2026,ZBZ26,115.9062,117.03,115.1562,115.8125,30191,26551,final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,ZBH27,115.7812,116.7812,115.1875,115.9062,25448,11524,final,cme_settle_20260401.csv,2026-08-17T06:40:00
2026-04-01,ZBM27,115.7188,116.31,114.75,116,16353,6289,Final,cme_settle_20260401.csv,2026-08-17T06:40:00
04/02/2026,ESM26,"5,904.00",5929.5,5852.25,5882.5,"1,671,408",2582566,final,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,ESU26,5921.25,5921.25,5864,5893,"749,351",738621,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
20260402,ESZ26,5880.25,5919.5,5837,5903.75,521568,378992,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,ESH27,5924.75,5945.25,5893.75,5914.25,328643,202065,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
04/02/2026,ESM27,5952.5,5952.5,5876.5,5924.75,201403,75336,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,NQM26,21295,21493.5,21025.5,21258.75,719794,1330190,FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,NQU26,21378.75,21499,21237,21297,432063,369223,FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
20260402,NQZ26,21358.75,21525.5,21306.75,21335.25,199177,137124,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
04/02/26,nqh27,21379.25,21461,21206.75,21373.5,173533,87686,FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,nqm27,21401,21453,21192.5,21411.75,92137,27371,final,cme_settle_20260402.csv,2026-08-17T06:40:00
20260402,CLJ26,81.36,81.43,80.06,81.01,371000,684928,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
04/02/26,CLK26,80.37,80.75,79.87,80.65,264755,330644,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,CLM26,80.29,80.89,79.33,80.28,135525,118444,final,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,CLN26,79.83,80.87,79.45,79.92,98631,50919,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
04/02/2026,clq26,79.42,79.75,78.9,79.55,62369,25152,final,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,clu26,79.04,80.04,78.51,79.19,33526,"9,600",Final,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,CL V26,79.13,79.67,78.52,78.82,20139,3335,FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,CLX26,78.32,78.79,77.61,78.46,17012,1788,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,clz26,78.2,78.98,77.22,78.09,8225,870,FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,CLF27,77.46,78.62,76.82,77.73,5840,330,FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
04/02/2026,CLG27,77.57,78.21,76.53,77.36,3052,130,FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,CLH27,76.86,77.65,76.79,77,2091,50,final,cme_settle_20260402.csv,2026-08-17T06:40:00
04/02/2026,CLJ27,76.28,76.83,76.28,76.64,1142,20,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,CLK27,76.13,76.83,75.46,76.27,793,11,FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,CLM27,75.66,76.09,75.13,75.91,583,4,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
04/02/2026,GCJ26,2642.4,2645.4,2626.9,2640,"188,101",297218,FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
04/02/2026,GCM26,2642.6,2666.4,2635.4,2644.8,117283,127559,final,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,gcq26,2645.3,2664.3,2631.2,2649.5,73890,45643,FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,GCZ26,2648.7,2664.2,2625.3,2654.3,42381,19438,FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,GC G27,2670.8,2670.8,"2,627.80",2659,26738,9624,final,cme_settle_20260402.csv,2026-08-17T06:40:00
2026-04-02,GCJ27,"2,660.20",2670.4,2639.6,2663.8,13570,2794,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
20260402,GCM27,2665.7,2674.7,2665.1,2668.5,12024,"2,300",FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
04/02/26,ZBM26,116.25,116.9688,116.25,116.6562,105395,159518,final,cme_settle_20260402.csv,2026-08-17T06:40:00
04/02/2026,ZBU26,117.3125,117.3438,116.22,116.75,54654,65842,Final,cme_settle_20260402.csv,2026-08-17T06:40:00
20260402,ZBZ26,116.9688,117.19,116.25,116.8438,"39,428",30109,FINAL,cme_settle_20260402.csv,2026-08-17T06:40:00
04/02/2026,ZBH27,117.3438,117.8438,116.1562,116.9375,20227,10415,final,cme_settle_20260402.csv,2026-08-17T06:40:00
04/02/2026,ZBM27,117.1875,118.1562,116.5625,117.0312,13240,4444,final,cme_settle_20260402.csv,2026-08-17T06:40:00
04/06/2026,ESM26,5971.5,5983,5911,5945.75,1549305,2312031,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,ESU26,5942,5985.25,5914,5956.5,830268,958900,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,ESZ26,5957,5988.5,5902.25,5967.25,638682,409334,final,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,ESH27,6002.25,6004.75,5948.5,5977.75,308185,192888,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
20260406,ESM27,"6,003.50",6046.5,5929,5988.5,178493,74370,Final,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,NQM26,21290.75,21577.5,21210,21356.25,618641,1117879,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
04/06/2026,NQU26,21306.25,21610.75,21259.25,21394.75,433684,539741,final,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,NQZ26,21339.5,21608.75,21339.5,21433.25,257450,146082,final,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,NQH27,21576.5,21606,21321.25,21471.5,132913,82979,Final,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,NQM27,21523.75,21698,21270.25,21510,77823,27331,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,CLJ26,79.73,80.49,79.11,80.02,408351,"726,547",FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,CL K26,80.01,80.01,79.58,79.66,212588,207022,final,cme_settle_20260406.csv,2026-08-17T06:40:00
04/06/26,clm26,78.97,80.18,78.68,79.3,179807,128984,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,CLN26,78.88,79.42,78.62,78.94,106726,"67,171",Final,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,CLQ26,78.27,78.67,77.82,78.58,66385,28190,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
20260406,clu26,78.28,79.09,77.78,78.22,44234,9768,Final,cme_settle_20260406.csv,2026-08-17T06:40:00
04/06/26,CL V26,77.86,78.47,77.29,77.86,26471,5568,Final,cme_settle_20260406.csv,2026-08-17T06:40:00
04/06/2026,CL X26,77.82,78.18,77.26,77.5,16254,1821,final,cme_settle_20260406.csv,2026-08-17T06:40:00
20260406,CLZ26,77.22,77.44,76.79,77.14,9675,715,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
04/06/2026,CLF27,77.1,77.49,76.5,76.78,4930,332,final,cme_settle_20260406.csv,2026-08-17T06:40:00
20260406,CL G27,76.4,76.58,76.33,76.42,3457,146,Final,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,CLH27,76.31,76.41,75.47,76.06,2070,51,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
04/06/26,CL J27,75.99,76.23,74.94,75.7,"1,252",21,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
04/06/2026,CLK27,75.24,75.42,74.86,75.34,740,11,Final,cme_settle_20260406.csv,2026-08-17T06:40:00
04/06/26,CLM27,74.93,75.47,74.66,74.98,515,4,final,cme_settle_20260406.csv,2026-08-17T06:40:00
20260406,GCJ26,2608.3,2623.1,"2,602.20",2613.5,209762,308622,Final,cme_settle_20260406.csv,2026-08-17T06:40:00
20260406,GCJ26,2608.3,2623.1,"2,602.20",2613.5,209762,308622,Final,cme_settle_20260406.csv,2026-08-17T06:41:12
20260406,GCM26,2619.9,"2,633.30",2609.4,2618.2,98397,103310,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
20260406,GCQ26,2614.5,2641.2,2610.4,2622.9,73785,48673,Final,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,GC Z26,2634.3,2656.1,2605.7,"2,627.60",48067,23451,final,cme_settle_20260406.csv,2026-08-17T06:40:00
20260406,GCG27,2635.8,2663,2610.2,2632.3,27687,10416,Final,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,GCJ27,2644.5,2647.4,2616.4,2637,14985,3025,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,GCM27,2637.8,2656.2,2610.8,2641.7,10035,1816,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,ZBM26,116.5312,116.8125,115.53,116.5312,83699,118560,Final,cme_settle_20260406.csv,2026-08-17T06:40:00
2026-04-06,zbu26,117.0312,117.0312,115.7188,116.625,58006,50545,Final,cme_settle_20260406.csv,2026-08-17T06:40:00
04/06/2026,ZBZ26,116.4688,118.0625,116.4688,116.7188,32585,21873,Final,cme_settle_20260406.csv,2026-08-17T06:40:00
04/06/26,ZBH27,117.0625,117.9062,115.44,116.8125,26694,11682,FINAL,cme_settle_20260406.csv,2026-08-17T06:40:00
04/06/26,ZBM27,116.4062,117.9375,116.4062,116.9062,12733,4925,final,cme_settle_20260406.csv,2026-08-17T06:40:00
04/07/2026,ESM26,5919,5999.5,5870,5934,1613019,2525461,final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,ESU26,5956,5999.5,5910,5944.75,769093,702782,final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,ESZ26,5944,6022.75,5893,5955.25,650028,392169,Final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,ESH27,5994.75,6016.5,5905.25,5966,389016,213969,Final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,ESM27,5972.5,6040.75,5934.5,5976.75,206202,82490,final,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/2026,NQM26,20894.75,21084.5,20736.5,20865.75,610525,814225,final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,NQU26,20823.25,20996.25,20707.25,20903.25,396877,450191,Final,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/2026,nqz26,21012.25,21028.25,20732.5,20940.75,210292,130535,final,cme_settle_20260407.csv,2026-08-17T06:40:00
20260407,NQH27,20880,21112.25,20745.75,20978.5,143275,85407,Final,cme_settle_20260407.csv,2026-08-17T06:40:00
20260407,NQM27,21024.75,21162.5,20993,21016,94011,30190,FINAL,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,clj26,79.15,79.39,78.85,78.93,387649,667419,FINAL,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/26,CLK26,78.31,79.11,78.14,78.57,282151,305946,final,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/2026,clm26,78.02,78.41,78.02,78.22,185546,159736,final,cme_settle_20260407.csv,2026-08-17T06:40:00
20260407,CLN26,78.01,78.28,77.57,77.86,108077,62582,Final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,CLQ26,77.46,78.04,76.77,77.51,57490,16485,Final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,CLU26,77.48,77.94,76.24,77.15,31421,8387,final,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/2026,CLV26,76.46,77.44,76.43,76.8,22118,"3,142",Final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,CLX26,76.81,77.1,76.21,76.44,15374,1464,FINAL,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/2026,CLZ26,75.76,76.7,75.74,76.09,9961,1011,final,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/26,CLF27,75.64,76.43,75.31,75.73,4724,232,Final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,CLG27,75.15,75.63,74.98,75.38,3871,192,FINAL,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/2026,CLH27,75.29,75.87,74.23,75.02,"2,500",90,final,cme_settle_20260407.csv,2026-08-17T06:40:00
20260407,CLJ27,74.83,75.07,74.01,74.67,1524,38,FINAL,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/2026,CLK27,74.42,74.86,74.04,74.31,718,9,Final,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/2026,CLM27,74.11,74.64,73.17,73.96,473,5,final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,GC J26,2635.5,2647.2,2615.7,"2,634.90",155250,276333,FINAL,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,gcm26,2639.8,2663.2,2614.6,2639.6,95646,103892,Final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,gcq26,2655.4,2655.4,2619.9,"2,644.40",74523,58754,FINAL,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/2026,GCZ26,2644.5,2660,2641.9,2649.1,36241,18342,final,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/26,GCG27,2644.6,2672.5,2644.6,"2,653.90",29239,11672,final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,GC J27,2658.4,2676.8,2633.7,2658.6,17839,3666,final,cme_settle_20260407.csv,2026-08-17T06:40:00
04/07/2026,GCM27,2660.6,2680.9,2650.1,2663.4,11136,2039,Final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,ZBM26,116.4062,117.4062,114.875,116.0938,93384,122662,final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,zbu26,116.4062,117.1875,115.8438,116.1875,50840,44852,final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,ZBZ26,116.3438,117.5,115.59,116.2812,32230,28686,final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,ZBH27,116.75,117.25,115.3125,116.375,23703,13018,FINAL,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-07,ZBM27,116.4688,117.125,116,116.4688,11766,5076,Final,cme_settle_20260407.csv,2026-08-17T06:40:00
2026-04-08,ESM26,5844.25,5898.5,5791,5857.25,1343044,1931827,Final,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,ESU26,5861.25,5932.5,5829.75,"5,867.75",913407,952220,Final,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/26,ESZ26,5896.75,5926.5,5825,5878.25,652487,390086,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/2026,ES H27,5861.25,5940,5861.25,5889,357085,209973,final,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,ESM27,5898.25,5944.5,5830,5899.5,178618,"51,005",FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,NQ M26,20689.75,20807.25,20542.75,20595,713124,1206646,Final,cme_settle_20260408.csv,2026-08-17T06:40:00
20260408,NQU26,20720.5,20872.5,20541.75,20632,405044,360634,Final,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/26,NQ Z26,20690.5,20909.25,20428.5,20669.25,229027,207163,final,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,NQH27,20786.25,"20,888.50",20603.25,20706.25,"168,260",69954,Final,cme_settle_20260408.csv,2026-08-17T06:40:00
20260408,NQM27,20717.5,20965.25,20574.5,20743.25,80608,"27,866",FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,clj26,80.22,80.26,79.4,80.03,"428,998",515629,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/2026,CL K26,79.6,80.04,79.57,79.67,272996,226925,final,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,CLM26,79.39,79.65,78.94,79.31,149707,106317,final,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,CLN26,78.86,79.37,78.32,78.95,89447,49067,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
20260408,clq26,78.63,79.51,78.16,78.59,57176,20990,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/26,CLU26,78.29,78.8,77.74,78.23,42347,8357,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,CL V26,78.13,78.80,77.47,77.87,27381,4686,final,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,CLX26,77.21,78.09,77.21,77.51,11903,1607,Final,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,CLZ26,77.13,77.78,76.71,77.15,10169,782,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,CLF27,76.64,76.88,76.56,76.79,6391,458,final,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/2026,CLG27,76.68,76.68,75.69,76.43,3338,151,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,CLH27,75.84,76.29,75.84,76.07,2152,65,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/2026,CLJ27,75.69,76.16,75.6,75.71,"1,199",24,Final,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,clk27,75.46,75.61,74.62,75.35,735,9,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,CLM27,74.93,75.86,74.62,74.99,564,5,Final,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/2026,GCJ26,2667,2692,2658.2,2672.8,189205,328755,Final,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/2026,GCM26,2685.7,2706.8,2669.2,2677.6,107289,126609,final,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/2026,GCQ26,2688.1,2709.2,2660.3,2682.4,71260,64468,Final,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,GCZ26,2694.3,2697.5,2678.8,2687.2,36684,15596,final,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/2026,GCG27,2695.6,2698.2,2661.3,2692,27416,9706,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,GCJ27,2695.8,2716.5,2691.4,2696.9,14711,"3,551",final,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,GCM27,2709.3,2709.3,2692.6,"2,701.70",11230,2052,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,zbm26,117.8125,117.8125,116.125,117.5312,"103,784","157,930",final,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/26,ZBU26,117.1875,118.3125,117.0938,117.625,"59,330",62997,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
2026-04-08,ZBZ26,118.0625,118.0625,117.2188,117.72,30232,22268,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
04/08/2026,ZBH27,117.4062,118.625,117,117.8125,21962,10668,FINAL,cme_settle_20260408.csv,2026-08-17T06:40:00
20260408,zbm27,118.0312,119.0312,117.125,117.9062,14632,4735,Final,cme_settle_20260408.csv,2026-08-17T06:40:00
04/09/2026,ESM26,5856.75,5886.25,5825.5,5837.25,1361575,1568420,final,cme_settle_20260409.csv,2026-08-17T06:40:00
04/09/2026,ESU26,5839.5,5909.75,5832.5,"5,847.75",753387,906669,final,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,ESZ26,5876.75,5920.75,5794,5858.25,544881,423252,FINAL,cme_settle_20260409.csv,2026-08-17T06:40:00
04/09/2026,esh27,5863.75,5935.5,5808.5,5868.75,"369,980",151148,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,ESM27,5852.5,5892.5,5835.25,5879.25,185768,80030,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,NQM26,20825.75,20940.75,20628.25,20778.75,624263,"1,018,653",FINAL,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,NQU26,20779,20875,20738.5,20816.25,"380,150",398381,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,NQZ26,20885.5,"20,901.50",20717.25,20853.5,268922,192775,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
20260409,NQH27,20957.25,20990.25,20830,20891,155987,78615,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
04/09/2026,NQM27,20932.75,21171.25,20744.25,20928.25,86381,35899,FINAL,cme_settle_20260409.csv,2026-08-17T06:40:00
20260409,CLJ26,77.45,78.36,76.81,77.58,369587,480800,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,CLK26,77.49,77.49,77.1,77.23,304911,324693,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,CLM26,77.03,77.31,76.47,76.88,147495,127703,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,CLN26,76.63,77.21,76.4,76.53,104802,62997,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
04/09/26,CLQ26,76.24,76.89,75.74,76.18,63568,"25,141",FINAL,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,CLU26,75.57,76.07,75.55,75.83,"32,765",8916,FINAL,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,CLV26,75.41,75.75,75.12,75.49,24759,4495,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
20260409,clx26,75.35,75.42,74.75,75.14,14709,1404,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,CLZ26,74.55,75.43,74.05,74.79,8288,608,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
20260409,CLF27,74.53,75,74.18,74.44,4630,336,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,CLG27,73.88,74.6,73.28,74.09,3447,140,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,CLG27,73.88,74.6,73.28,74.09,3447,140,Final,cme_settle_20260409.csv,2026-08-17T06:41:12
04/09/26,CLH27,73.83,74.55,73.35,73.74,2263,65,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,CLJ27,73.68,73.82,72.54,73.39,"1,263",29,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
20260409,CLK27,73.28,73.78,72.33,73.04,735,11,FINAL,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,CLM27,72.49,73.21,72.28,72.69,426,4,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,GCJ26,2679.9,2707.5,2658.2,2679.8,156750,"185,256",FINAL,cme_settle_20260409.csv,2026-08-17T06:40:00
2026-04-09,GCM26,2697,2710.8,2668.5,2684.6,116389,115991,Final,cme_settle_20260409.csv,2026-08-17T06:40:00
